,,Jadwal Gasal Teknik Informatika 2025/2026,,,,,,,,,
,,,,,,,,,,,
,10.20 - 11.10,,,,,,Pengantar Teknologi Informasi C (IF 1) - SELASA / 10:20 - 12:00 / Lab TIA / Ocal,Technopreneurship B (IF 7) - SELASA / 10:20 - 12:00 / LAB CC / Sigit,,Pancasila B (IF 1) - SELASA / 10:20 - 12:00 / Lab Lantai 4 / Husni,
,11.10 - 12.00,,,,,,,,,,
,12.00 - 13.00,I S T I R A H A T,,,,,,,,,
,13.00 - 13.50,Proyek Perangkat Lunak C (IF 5) - SELASA / 13:00 - 15:30 / 407 / Jauhari,Etika Profesional A (IF 7) - SELASA / 13:00 - 14:40 / 406 / Fika,Analisis Big Data B (IF 7) - SELASA / 13:00 - 15:30 / 306 / Fifin,Proyek Perangkat Lunak Lanjut B (IF 7) - SELASA / 13:00 - 15:30 / 304 / Andharini,Teori Komputasi D (IF 3) - SELASA / 13:00 - 15:30 / 203 / Suzan,Pengembangan Aplikasi Web B (IF 3) - SELASA / 13:00 - 15:30 / Lab TIA / Ocal,Proyek Sains Data C (IF 5) - SELASA / 13:00 - 15:30 / LAB CC / Kurnix,Sistem Informasi A (IF 7) - SELASA / 13:00 - 15:30 / Lab Mul-Net / Sari,Pancasila C (IF 1) - SELASA / 13:00 - 14:40 / Lab Lantai 4 / Husni,
,13.50 - 14.40,,,,,,,,,,
,14.40 - 15.30,,Etika Profesional B (IF 7) - SELASA / 14:40 - 16:20 / 406 / Fika,,,,,,,,
,15.30 - 16.20,,,,,,Pemrograman Desktop A (IF 7) - SELASA / 15:30 - 18:00 / Lab TIA / Yo,,Sistem Informasi B (IF 7) - SELASA / 15:30 - 18:00 / Lab Mul-Net / Sari,,
,16.20 - 17.10,,,,,,,,,,
,17.10 - 18.00,,,,,,,,,,
,,,,,,,,,,,
,,407,406,306,304,203,Lab TIA,LAB CC,Lab Mul-Net,Lab Lantai 4,Lab Sos/Sister
RABU,07:00 - 07:50,Sistem Informasi C (IF 2) - RABU / 07:00 - 09:30 / 407 / Faris,Matematika Diskret A (IF 2) - RABU / 07:00 - 09:30 / 406 / Devie,Pembelajaran Mesin B (IF 5) - RABU / 07:00 - 09:30 / 306 / Cucun,Matematika Diskret C (IF 2) - RABU / 07:00 - 09:30 / 304 / Rika,Metodologi Penelitian A (IF 5) - RABU / 07:00 - 08:40 / 203 / Arif,Algoritma & Dasar Pemrograman D (IF 1) - RABU / 07:00 - 09:30 / Lab TIA / Arik,Deep Learning A (IF 7) - RABU / 07:00 - 09:30 / LAB CC / Rima,Jaringan Komputer 1 D (IF 3) - RABU / 07:00 - 09:30 / Lab Mul-Net / Dwi,,
,07.50 - 08.40,,,,,,,,,,
,08.40 - 09.30,,,,,Metodologi Penelitian B (IF 5) - RABU / 08:40 - 10:20 / 203 / Arif,,,,,
,09.30 - 10.20,Teori Komputasi E (IF 3) - RABU / 09:30 - 12:00 / 407 / Fika,Matematika Diskret B (IF 2) - RABU / 09:30 - 12:00 / 406 / Devie,Pembelajaran Mesin C (IF 5) - RABU / 09:30 - 12:00 / 306 / Cucun,Matematika Diskret D (IF 2) - RABU / 09:30 - 12:00 / 304 / Rika,,Ekstraksi Informasi A (IF 7) - RABU / 09:30 - 12:00 / Lab TIA / Firdaus,Basis Data III A (IF 7) - RABU / 09:30 - 12:00 / LAB CC / Meidya,Pemrograman Desktop B (IF 7) - RABU / 09:30 - 12:00 / Lab Mul-Net / Yo,Matematika D (IF 1) - RABU / 09:30 - 12:00 / Lab Lantai 4 / Bas,
,10.20 - 11.10,,,,,Metodologi Penelitian C (IF 5) - RABU / 10:20 - 12:00 / 203 / Aeri,,,,,
,11.10 - 12.00,,,,,,,,,,
,12.00 - 13.00,I S T I R A H A T,,,,,,,,,
,13.00 - 13.50,Bahasa Inggris D (IF 1) - RABU / 13:00 - 14:40 / 407 / Fitri,Komputasi Numerik - RABU / 13:00 - 14:40 / 406 / Faris,RAPAT - RABU / 13:00 - 13:50 / 306 / SIDANG SKRIPSI,,,,,,,
,13.50 - 14.40,,,,,,,,,,
,14.40 - 15.30,Bahasa Inggris E (IF 1) - RABU / 14:40 - 16:20 / 407 / Fitri,,,,,,,,,
,15.30 - 16.20,,,,,,,,,,
,16.20 - 17.10,,,,,,,,,,
,17.10 - 18.00,,,,,,,,,,
,,,,,,,,,,,
,,407,406,306,304,203,Lab TIA,LAB CC,Lab Mul-Net,Lab Lantai 4,Lab Sos/Sister
KAMIS,07:00 - 07:50,Basis Data III B (IF 7) - KAMIS / 07:00 - 09:30 / 407 / Meidya,Proyek Perangkat Lunak D (IF 5) - KAMIS / 07:00 - 09:30 / 406 / Andharini,Matematika Diskret E (IF 2) - KAMIS / 07:00 - 09:30 / 306 / Devie,Pemodelan Proses Bisnis A (IF 7) - KAMIS / 07:00 - 09:30 / 304 / Rika,Metodologi Penelitian D (IF 5) - KAMIS / 07:00 - 08:40 / 203 / Arik,Pengembangan Aplikasi Web D (IF 3) - KAMIS / 07:00 - 09:30 / Lab TIA / Ifa,Pengembangan Aplikasi Web D (IF 3) - KAMIS / 07:00 - 09:30 / LAB CC / Ifa,Algoritma & Dasar Pemrograman E (IF 1) - KAMIS / 07:00 - 09:30 / Lab Mul-Net / Indah,Pemrograman Berorientasi Obyek - KAMIS / 07:00 - 09:30 / Lab Lantai 4 / Faris,
,07.50 - 08.40,,,,,,,,,,
,08.40 - 09.30,,,,,Metodologi Penelitian E (IF 5) - KAMIS / 08:40 - 10:20 / 203 / Cucun,,,,,
