Hari,Waktu,407,406,306,304,203,Lab TIA,LAB CC,Lab Mul-Net,Lab Lantai 4,Lab Sos/Sister
SELASA,09:30 - 10:20,Basis Data I B (IF 3) - Selasa / 09:30 - 12:00  / 407 / Yoga,Proyek Perangkat Lunak Lanjut A (IF 7) - Selasa / 09:30 - 12:00 / 406 / Andharini,Analisis Big Data A (IF 7) - Selasa / 09:30 - 12:00 / 306 / Fifin,Teori Komputasi B (IF 3) - Selasa / 09:30 - 12:00 / 304 / Firdaus,Teori Komputasi A (IF 3) - Selasa / 09:30 - 12:00 / 203 / Suzan,,,Pengolahan Citra B (IF 7) - Selasa / 09:30 - 12:00 / Lab Mul-Net / Rima,,
SELASA,10:20 - 11:10,,,,,,Pengantar Teknologi Informasi C (IF 1) - Selasa / 10:20 - 12:00 / Lab TIA / Ocal,Technopreneurship B (IF 7) - Selasa/ 10:20 - 12:00 / Lab CC / Sigit,,Pancasila B (IF 1) - Selasa / 10.20 -12.00 / Lab LT4 / Husni,
SELASA,11:10 - 12:00,,,,,,,,,,
SELASA,12:00 - 13:00,ISTIRAHAT,,,,,,,,,
SELASA,13:00 - 13:50,Proyek Perangkat Lunak C (IF 5) - Selasa / 13.00 - 15.30 / 407 / Jauhari,Etika Profesional A (IF 7) - Selasa / 13:00 - 14:40 / 406 / Fika,Analisis Big Data B (IF 7) - Selasa / 13.00 - 15.30 / 306 / Fifin,Proyek Perangkat Lunak Lanjut B (IF 7) - Selasa / 13.00 - 15.30 / 304 / Andharini,Teori Komputasi D (IF 3) - Selasa / 13.00 - 15.30 / 203 / Suzan,Pengembangan Aplikasi Web B (IF 3) - Selasa / 13.00 - 15.30 / Lab TIA / Ocal,Proyek Sains Data C (IF 5) - Selasa / 13.00 - 15.30 / Lab CC / Kurnix,Sistem Informasi A (IF 7) - Selasa / 13.00 - 15.30 / Lab Mul-Net / Sari,Pancasila C (IF 1) - Selasa / 13.00-14.40 / Lab LT4 / Husni,
SELASA,13:50 - 14:40,,,,,,,,,,
SELASA,14:40 - 15:30,,Etika Profesional B (IF 7) - Selasa / 14:40 - 16:20 / 406 / Fika,,,,,,,,
SELASA,15:30 - 16:20,,,,,,Pemrograman Desktop A (IF 7) - Selasa / 15:30 - 18:00 / Lab TIA / Yo,,Sistem Informasi B (IF 7) - Selasa / 15:30 - 18:00 / Lab Mul-Net / Sari,,
SELASA,16:20 - 17:10,,,,,,,,,,Pancasila E (IF 1) - Selasa / 08.40-10.20 / Labsos / Taufiq
SELASA,17:10 - 18:00,,,,,,,,,,
RABU,07:00 - 07:50,Sistem Informasi C (IF 2) - Rabu / 07:00 - 09:30 / 407 / Faris,Matematika Diskret A (IF 2) - Rabu / 07:00 - 09:30 / 406 / Devie,Pembelajaran Mesin B (IF 5) - Rabu / 07:00 - 09:30 / 306 / Cucun,Matematika Diskret C (IF 2) - Rabu / 07:00 - 09:30 / 304 / Rika,Metodologi Penelitian A (IF 5) - Rabu / 07:00 - 08:40 / 203 / Arif,Algoritma & Dasar Pemrograman D (IF 1) - Rabu / 07:00 - 09:30 / Lab TIA / Arik,Deep Learning A (IF 7) - Rabu / 07:00 - 09:30 / Lab CC / Rima,Jaringan Komputer 1 D (IF 3) - Rabu / 07:00 - 09:30 / Lab Mul-Net / Dwi,,
RABU,07:50 - 08:40,,,,,,,,,,
RABU,08:40 - 09:30,,,,,Metodologi Penelitian B (IF 5) - Rabu / 08:40 - 10:20 / 203 / Arif,,,,,
RABU,09:30 - 10:20,Teori Komputasi E (IF 3) - Rabu / 09:30 - 12:00 / 407 / Fika,Matematika Diskret B (IF 2) - Rabu / 09:30 - 12:00  / 406 / Devie,Pembelajaran Mesin C (IF 5) - Rabu / 09:30 - 12:00 / 306 / Cucun,Matematika Diskret D (IF 2) - Rabu / 09:30 - 12:00  / 304 / Rika,,Ekstraksi Informasi A (IF 7) - Rabu / 09:30 - 12:00 / Lab TIA / Firdaus,Basis Data III A (IF 7) - Rabu / 09:30 - 12:00 / Lab CC / Meidya,Pemrograman Desktop B (IF 7) - Rabu / 09:30 - 12:00 / Lab Mul-Net / Yo,Matematika D (IF 1) - Rabu / 09:30 - 12:00  / Lab LT4 / Bas,
RABU,10:20 - 11:10,,,,,Metodologi Penelitian C (IF 5) - Rabu / 10:20 - 12:00 / 203 / Aeri,,,,,
RABU,11:10 - 12:00,,,,,,,,,,
RABU,12:00 - 13:00,ISTIRAHAT,,,,,,,,,
RABU,13:00 - 13:50,Bahasa Inggris D (IF 1) - Rabu / 13:00 - 14:40 / 407 / Fitri,Komputasi Numerik - Rabu / 13:00 - 14:40 / 406 / Faris,RAPAT / SEMINAR PROPOSAL / SIDANG SKRIPSI,,,PRAKTIKUM,,,,B.Indonesia D (IF 1) - Rabu / 12.30-14.10 / Labsos /  Ira fatmawati
RABU,13:50 - 14:40,,,,,,,,,,
RABU,14:40 - 15:30,Bahasa Inggris E (IF 1) - Rabu / 14:40 - 16:20 / 407 / Fitri,,,,,,,,,B.Indonesia E (IF 1) - Rabu / 14.10-16.00 / Labsos /  Ira fatmawati
RABU,15:30 - 16:20,,,,,,,,,,
RABU,16:20 - 17:10,,,,,,,,,,
RABU,17:10 - 18:00,,,,,,,,,,
KAMIS,07:00 - 07:50,Basis Data III B (IF 7) - Kamis / 07:00 - 09:30 /407 / Meidya,Proyek Perangkat Lunak D (IF 5) - Kamis / 07:00 - 09:30 / 406 / Andharini,Matematika Diskret E (IF 2) - Kamis / 07:00 - 09:30 / 306 / Devie,Pemodelan Proses Bisnis A (IF 7) - Kamis / 07:00 - 09:30 / 304 / Rika,Metodologi Penelitian D (IF 5) - Kamis / 07:00 - 08:40 / 203 / Arik,Pengembangan Aplikasi Web D (IF 3) - Kamis  / 07:00 - 09:30 / Lab TIA / Ifa,Pengembangan Aplikasi Web D (IF 3) - Kamis  / 07:00 - 09:30 / Lab TIA / Ifa,Algoritma & Dasar Pemrograman E (IF 1) - Kamis / 07:00 - 09:30 / Lab Mul-Net / Indah,Pemrograman Berorientasi Obyek - Kamis / 07:00 - 09:30 / Lab Lt.4 / Faris,
KAMIS,07:50 - 08:40,,,,,,,,,,
KAMIS,08:40 - 09:30,,,,,Metodologi Penelitian E (IF 5) - Kamis / 08:40 - 10:20 / 203 / Cucun,,,,,
KAMIS,09:30 - 10:20,Biometrika A (IF 7) - Kamis / 09:30 - 12:00 / 407 / Arif,Proyek Perangkat Lunak E (IF 5) - Kamis / 09:30 - 12:00 / 406 / Andharini,Pencarian dan Penambangan Web A (IF 7) - Kamis / 09:30 - 12:00 / 306 / Mul,Pembelajaran Mesin E (IF 5) - Kamis / 09:30 - 12:00 / 304 / Bas,,Pengembangan Aplikasi Web E (IF 3) - Kamis  / 09:30 - 12:00 / Lab TIA / Ifa,Pengembangan Aplikasi Web G (IF 3) - Kamis  / 09:30 - 12:00 / Lab CC / Kurnix,Algoritma & Dasar Pemrograman F (IF 1) - Kamis / 09:30 - 12:00 / Lab Mul-Net / Indah,Sistem Terdistribusi E (IF 5) - Kamis / 09:30 - 12:00 / Lab LT4 / Hermawan,
KAMIS,10:20 - 11:10,,,,,Metodologi Penelitian F (IF 5) - Kamis / 10:20 - 12:00 / 203 / Firdaus,,,,,
KAMIS,11:10 - 12:00,,,,,,,,,,
KAMIS,12:00 - 13:00,ISTIRAHAT,,,,,,,,,
KAMIS,13:00 - 13:50,Proyek Sains Data D (IF 5) - Kamis / 13.00 - 15.30 / 407 / Yonathan,Matematika E (IF 1) - Kamis / 13.00 - 15.30 / 406 / Bain,Pencarian dan Penambangan Web B (IF 7) - Kamis / 13.00 - 15.30 / 306 / Mul,Pembelajaran Mesin D (IF 5) - Kamis / 13.00 - 15.30 / 304 / Bas,Teori Komputasi C (IF 3) - Kamis / 13.00 - 15.30 / 203 / Firdaus,Pengantar Teknologi Informasi B (IF 1) - Kamis / 13:00 - 14:40 / Lab TIA / Ocal,Sistem Terdistribusi B (IF 5) - Kamis / 13.00 - 15.30 / Lab CC / Yoga,Algoritma & Dasar Pemrograman G (IF 1) - Kamis / 13.00 - 15.30 / Lab Mul-Net / Arik,Sistem Terdistribusi D (IF 5) - Kamis / 13.00 - 15.30 / Lab LT4 / Hermawan,
KAMIS,13:50 - 14:40,,,,,,,,,,
KAMIS,14:40 - 15:30,,,,,,,,,,
KAMIS,15:30 - 16:20,Proyek Sains Data E (IF 5) - Kamis / 15:30 - 18:00 / 407 / Yonathan,,,,,,,,,
KAMIS,16:20 - 17:10,,,,,,,,,,
KAMIS,17:10 - 18:00,,,,,,,,,,
JUMAT,07:00 - 07:50,Bahasa Inggris A (IF 1) - Jumat / 07:00 - 08:30 / 407 / Fitri,Agama Islam A (IF 1) - Jumat / 07:00 - 08:30 / 407 / XXX,RAPAT / SEMINAR PROPOSAL / SIDANG SKRIPSI,,,PRAKTIKUM,,,Rekayasa Multimedia A (IF 7) - Jumat / 08:40 - 11:10 / Lab Lt.4 / Faris,
JUMAT,07:50 - 08:40,,,,,,,,,,
JUMAT,08:40 - 09:30,Bahasa Inggris B (IF 1) - Jumat / 08.30-10.10 / 407 / Fitri,Agama Islam B (IF 1) - Jumat / 08.30-10.10 / 407 / XXX,,,,,,,,
JUMAT,09:30 - 10:20,,,,,,,,,,
JUMAT,10:20 - 11:10,Bahasa Inggris C (IF 1) - Jumat / 10.10-11.40 / 407 / Fitri,Agama Islam C (IF 1) - Jumat / 10.01-11.40 / 407 / XXX,,,,,,,,
JUMAT,11:10 - 12:00,,,,,,,,,,
JUMAT,12:00 - 13:00,ISTIRAHAT,,,,,,,,,
JUMAT,13:00 - 13:50,,Agama Islam D (IF 1) - Jumat / 13.00-14.40 / 407 / XXX,RAPAT / SEMINAR PROPOSAL / SIDANG SKRIPSI,,,PRAKTIKUM,,,Rekayasa Multimedia B (IF 7) - Jumat / 13:00 - 15:30 / Lab Lt.4 / Faris,
JUMAT,13:50 - 14:40,,,,,,,,,,
JUMAT,14:40 - 15:30,,Agama Islam E (IF 1) - Jumat / 14.40-16.10 / 407 / XXX,,,,,,,,
JUMAT,15:30 - 16:20,,,,,,,,,,
JUMAT,16:20 - 17:10,,,,,,,,,,
JUMAT,17:10 - 18:00,,,,,,,,,,
